Frase,Classe
Serviço muito bom!,1
"Gostei, recomendo muito o serviço.",1
"Nota 10,  me surpreendeu como é bom!",1
"Muito ruim,  não recomendo a ninguém.",0
"Péssimo,  não atendeu as minhas expectativas.",0
"Muito lento,  muito caro e não atende o que cumpre. Nota 0.",0
"Muito rápido,  gostei e recomendo a utilização!",1
"Resposta muito rápida,  atendimento de qualidade.  Muito bom.",1
"Horrível,  não comprem esse serviço.",0
Atendimento péssimo de mal qualidade.,0
"Queria meu dinheiro de volta, sem qualidade, muita enganação!",0
Recomendo a todos!  Ótimo custo beneficio!,1
